"DATES" "FL154090005.Q" "FL154000025.Q" "FL153091003.Q" "FL153020005.Q" "FL153030005.Q" "FL153034005.Q" "FL154004005.Q" "FL163069103.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL153061705.Q" "FL153062005.Q" "FL153063005.Q" "FL153069803.Q" "FL153065005.Q" "FL153064105.Q" "FL153064205.Q" "FL153067005.Q" "FL153040005.Q" "FL153050005.Q" "FL152090205.Q" "FL153090005.Q" "FL154190005.Q" "FL154104005.Q" "FL153165105.Q" "FL153166000.Q" "FL163162005.Q" "FL153168005.Q" "FL153169005.Q" "FL163165505.Q" "FL153167005.Q" "FL163170003.Q" "FL543077003.Q"
"197703" 4352340 1113259 0 174898 935405 2956 348140 28547 103755 75572 28183 7914 76843 75838 0 55243 661744 40413 5190 184993 573921 1369199 55481 943916 909973 579859 252953 7291 23135 34699 12036 13981 10902 9060
"197704" 4427737 1136659 0 178271 955191 3197 358421 31539 104545 76762 27783 8373 78835 79795 0 55334 631269 40355 5739 187808 589857 1420309 57320 981616 946713 602953 264892 8100 23434 35201 12132 14527 11092 9284
"197801" 4506555 1167318 0 178306 984278 4734 367423 31566 108190 77958 30232 8565 84721 78005 0 56376 593322 39400 7567 190464 602112 1479831 59118 1004391 967150 620976 266971 8808 22050 35792 12553 16401 11306 9534
"197802" 4687240 1199433 0 184882 1008501 6050 378057 38562 103574 79116 24458 8453 92107 76389 0 58972 631295 41664 8938 193533 635742 1537712 60866 1053976 1013666 647990 284526 9431 22626 36527 12567 18950 11570 9790
"197803" 4875529 1234049 0 191659 1035175 7215 387898 38267 109285 79945 29340 8501 97667 72594 0 61584 671972 43683 10349 196398 678666 1589892 62622 1102441 1059927 678914 298022 10039 22524 37492 12937 20731 11724 10059
"197804" 4958511 1256016 0 192901 1054187 8928 406651 46230 110312 80691 29621 9911 104168 73633 0 62397 639962 41080 8521 199369 691400 1651070 64442 1144726 1105353 708593 311305 10700 23142 38609 13004 17145 11879 10349
"197901" 5140817 1276269 0 186753 1073823 15693 425627 50799 117269 80562 36707 11679 109320 71800 0 64760 678679 42476 7887 202002 720298 1721238 66341 1173130 1134020 733557 313819 11398 21999 39709 13538 16326 12119 10665
"197902" 5299908 1305636 0 198850 1084105 22681 441903 53900 120824 80595 40229 11554 116924 70684 0 68017 692078 43252 10725 204897 746076 1787061 68280 1221641 1179411 763372 327319 12118 21510 41117 13976 18958 12262 11010
"197903" 5513736 1349617 0 210810 1108985 29822 454804 57345 128166 80570 47596 12627 121212 64315 0 71139 736067 44837 11463 207494 785257 1853943 70254 1271908 1228001 795888 341528 12854 21068 42365 14298 20249 12298 11360
"197904" 5684479 1375186 0 211660 1124067 39459 486129 56004 155885 79876 76009 12501 123569 66608 0 71562 768059 44798 10354 210305 801128 1916264 72256 1317840 1276063 826675 354616 13600 22386 44413 14372 17458 12627 11692
"198001" 5736284 1403792 0 201479 1147788 54525 505773 60332 162197 75996 86201 19045 124044 59199 0 80956 705976 39456 11663 212764 819642 1962819 74399 1348198 1304575 856188 349662 14339 22933 46713 14740 18735 12885 12003
"198002" 5986298 1440379 0 204193 1166258 69928 494166 52550 157092 73392 83700 17495 126304 57823 0 82902 807724 44130 12635 215454 875484 2020264 76062 1367945 1323979 873920 345637 15056 25583 49284 14500 18620 13058 12288
