"DATES" "FL313161505.Q" "FL313161400.Q" "FL313161105.Q" "FL893061505.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL103061103.Q" "FL113061003.Q" "FL213061105.Q" "FL263061105.Q" "FL713061100.Q" "FL763061105.Q" "FL723061100.Q" "FL753061103.Q" "FL733061103.Q" "FL743061103.Q" "FL443061105.Q" "FL473061105.Q" "FL513061103.Q" "FL543061103.Q" "FL573061105.Q" "FL223061103.Q" "FL343061105.Q" "FL633061100.Q" "FL653061105.Q" "FL553061103.Q" "FL563061103.Q" "FL403061105.Q" "FL673061103.Q" "FL663061105.Q" "FL314104005.Q"
"197802" 584399 79116 505283 584399 103574 79116 24458 13970 3001 73601 117423 107859 99573 97374 1283 216 700 15022 1023 9222 4924 22185 9095 0 1065 1818 608 0 1320 0 -884 592353
"197803" 599749 79945 519804 599749 109285 79945 29340 12692 3143 80665 119448 113027 97592 95441 1294 192 665 13827 895 9895 5113 21089 9543 0 960 1748 632 0 1097 0 -902 607125
"197804" 614866 80691 534175 614866 110312 80691 29621 15070 3184 83677 132901 109478 95329 93085 1450 165 629 13333 727 10450 4822 23179 9454 0 886 1584 643 0 1442 0 -1605 621859
"197901" 625555 80562 544993 625555 117269 80562 36707 14519 3192 89510 126633 109260 96292 94202 1290 200 600 12980 772 10896 5357 23727 10677 0 1687 1722 644 0 862 0 -444 631894
"197902" 621532 80595 540937 621532 120824 80595 40229 17689 3159 89331 113716 106432 94584 92255 1526 240 563 12780 863 10741 5204 24928 13327 0 1988 1502 639 0 1827 0 1998 627383
"197903" 634011 80570 553441 634011 128166 80570 47596 13855 3024 90086 120244 114596 93690 91134 1658 280 618 11948 887 10694 5150 25769 13287 0 1224 1379 632 0 931 0 -1551 639761
"197904" 652058 79876 572182 652058 155885 79876 76009 13472 2805 85458 115958 116291 95599 92676 1953 298 672 11710 625 10665 4888 25995 14706 0 1621 1536 628 0 1239 0 -7023 657650
"198001" 669663 75996 593667 669663 162197 75996 86201 14300 2635 82033 113901 115734 96303 93296 2010 304 693 11648 599 11158 4917 27203 16159 0 7004 1679 629 0 1810 0 -246 675170
"198002" 676274 73392 602882 676274 157092 73392 83700 9914 2509 82482 116990 124058 98518 95367 2125 304 722 11467 801 10161 5135 29387 17582 0 5272 2592 634 0 1817 0 -137 681560
"198003" 704146 73043 631103 704146 160847 73043 87804 13704 2493 87989 120506 119418 105481 101972 2447 312 750 13240 933 11082 5338 30569 19999 0 7450 1939 638 0 2055 0 465 709291
"198004" 730006 72528 657478 730006 173872 72528 101344 13697 2564 93318 127449 119299 111541 107929 2530 312 770 13202 939 12248 5838 32215 20927 0 3474 1853 634 0 1682 0 -4746 735001
"198101" 764195 70355 693840 764195 165674 70355 95319 12593 2728 97649 136077 117666 115129 111704 2343 296 786 13388 973 13203 7206 33352 22432 0 14518 2651 621 0 3 0 8332 769106
"198102" 762029 69223 692806 762029 160231 69223 91008 17272 2900 103543 134740 120017 115043 111578 2371 291 803 13493 957 12959 6952 34543 24531 0 9023 2363 598 0 1734 0 1130 766754
"198103" 780156 68299 711857 780156 170671 68299 102372 19985 3091 106928 129677 124330 112127 108589 2431 296 811 13478 865 13614 7192 34755 25215 0 11419 2443 576 0 1828 0 1962 784791
"198104" 815934 68190 747744 815934 168756 68190 100566 18652 3298 108317 135509 127738 113769 109718 2942 309 800 13257 1014 13491 8167 46684 27564 0 21519 2775 565 0 1901 0 2958 820479
"198201" 848933 67495 781438 848933 173112 67495 105617 16030 3080 116685 135479 123992 117300 113141 3108 232 819 13617 1127 13665 11071 56035 29545 0 25560 3512 567 0 1871 0 6685 852854
