"DATES" "FL792150005.Q" "FL712150003.Q" "FL762150005.Q" "FL722150005.Q" "FL752150000.Q" "FL732150005.Q" "FL442150005.Q" "FL542150005.Q" "FL642150003.Q" "FL662150005.Q" "FL892050005.Q" "FL102050003.Q" "FL212050003.Q" "FL262050003.Q" "FL792050005.Q" "FL712050000.Q" "FL442050005.Q" "FL472050000.Q" "FL512050003.Q" "FL572050005.Q" "FL222050003.Q" "FL632050000.Q" "FL652050003.Q" "FL402050005.Q" "FL502050003.Q" "FL902050005.Q"
"199104" 353811 0 227533 190543 38350 -1360 19571 0 0 106707 377907 1620 118442 20857 236988 15898 15054 13195 0 27237 18868 66973 12193 67570 0 -24096
"199201" 365502 0 266172 230229 36586 -643 15688 0 1398 82244 399024 3211 115788 32178 247847 1805 17237 13818 0 27061 19299 79744 20105 68778 0 -33522
"199202" 390957 0 271121 220814 51806 -1499 17656 0 1871 100309 408665 3872 122350 34724 247719 0 15986 12920 0 27189 20685 79965 23515 67459 0 -17708
"199203" 414429 0 266461 230683 37050 -1272 16874 0 2379 128715 424427 3194 122183 33337 265713 18160 14448 11603 0 27356 23573 72041 26781 71751 0 -9998
"199204" 393616 0 265757 227930 39000 -1173 18550 0 2883 106426 412417 5057 123050 41715 242595 8094 14428 13547 0 27424 24680 65945 21899 66578 0 -18801
"199301" 457583 0 288497 256075 33147 -725 21229 0 3415 144442 422979 3905 125826 46596 246652 7323 14229 12227 0 28361 25219 72974 29014 57305 0 34604
"199302" 454704 0 287730 252373 36065 -708 22493 0 4007 140474 420273 3071 124170 50351 242681 16005 12355 11191 0 28799 26344 68036 30383 49568 0 34431
"199303" 471810 0 305337 274979 30581 -223 24447 0 4571 137455 416275 1963 125838 55051 233423 8442 11866 9098 0 28085 19887 75970 31473 48602 0 55535
"199304" 455217 0 297664 263733 34683 -752 26093 0 5019 126441 431328 2506 133746 58627 236449 13212 10578 8463 0 28339 20449 66376 38698 50334 0 23889
"199401" 470058 0 324740 292220 32828 -308 28593 0 6600 110125 437745 2579 128424 58128 248614 5450 10039 13167 0 27158 20399 73032 45438 53931 0 32313
"199402" 501989 0 344659 308352 37012 -705 34235 0 7900 115195 443224 2514 125790 55607 259313 10639 9808 10648 0 25772 22909 71020 46744 61773 0 58765
"199403" 524656 0 347056 314938 32660 -542 39149 0 9400 129051 458435 2696 118353 75114 262272 2510 8649 9326 0 23915 25093 70643 52893 69243 0 66221
"199404" 523992 0 366314 325877 41376 -939 44537 0 9747 103394 438367 2178 118640 46616 270933 10590 6463 6201 0 22157 27825 68788 43138 85771 0 85625
"199501" 578143 0 390548 355586 35530 -568 44621 0 9940 133034 455857 3707 109780 56608 285762 6698 8771 9195 0 22229 29519 72993 44059 92298 0 122286
"199502" 600485 0 398127 353136 43845 1146 51087 0 10391 140880 488197 9019 101100 62488 315590 16785 9892 8527 0 22300 31257 80881 42584 103364 0 112288
"199503" 624571 0 410356 371954 38787 -385 56502 0 10648 147065 486104 3771 105767 66199 310367 6520 10081 7891 0 22373 29383 83485 43098 107536 0 138467
