"DATES" "FL144090005.Q" "FL103091003.Q" "FL143020005.Q" "FL143030005.Q" "FL123034005.Q" "FL102050003.Q" "FL124004005.Q" "FL103069100.Q" "FL143061105.Q" "FL103061703.Q" "FL143062005.Q" "FL123065005.Q" "FL123066005.Q" "FL103064203.Q" "FL143070005.Q" "FL143090005.Q" "FL144190005.Q" "FL144104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL143168005.Q" "FL143169005.Q" "FL143165005.Q" "FL143170005.Q" "FL143178005.Q" "FL143190005.Q"
"198601" 2794711 17734 192328 116137 16213 3349 218564 11646 42964 4167 20530 99139 40118 12589 793951 1423846 4497723 2639314 69514 124039 614192 560986 368623 901960 499556 62165 1296687
"198602" 2841550 18854 190651 122345 16464 2900 231124 10268 50723 4518 25314 98701 41600 13947 810815 1434450 4553995 2718268 68654 120767 653462 568392 382861 924132 490410 61722 1283596
"198603" 2921802 18104 183407 134442 16796 3742 229418 9378 49491 5750 24145 98139 42515 14709 832565 1488619 4668509 2779239 72779 119531 681794 569295 391051 944789 495495 63911 1329864
"198604" 2978807 19201 202448 127838 18122 5073 230527 10173 51096 2360 25055 94826 47017 15676 816308 1543614 4743767 2870957 62865 117138 705350 615423 404729 965452 529896 66053 1276862
"198701" 3077588 16826 202883 123132 19573 5556 224254 12384 48425 2274 23308 93440 44423 16057 847753 1621554 4829579 2932801 63593 117349 730491 600014 408610 1012744 533325 67406 1296047
"198702" 3122975 15896 208014 122975 18391 5532 217756 13815 43099 3006 19994 91271 46571 15039 864259 1655113 4893215 2993195 67916 116146 748212 609438 419797 1031686 527632 70408 1301980
"198703" 3185216 15081 208393 120919 18379 5601 218456 16886 41642 3036 19285 89532 48075 14628 886331 1697428 4956798 3045925 68108 116097 768763 612241 428291 1052424 538000 71305 1301569
"198704" 3204271 16262 212887 126333 18945 3362 222031 14966 41589 2648 19364 89436 54028 12817 881598 1710036 5071486 3122592 73768 116224 784115 627979 439956 1080550 579323 71717 1297854
"198801" 3286564 18334 211561 124630 18384 3658 222942 12295 41115 3702 19051 95866 50913 12167 919892 1754996 5189968 3196621 73507 115753 809612 635917 460904 1100928 585775 73192 1334380
"198802" 3364093 25398 219470 119384 17318 3075 230705 15348 36777 6107 16091 103552 52830 11478 958949 1778316 5286240 3280382 77847 116168 840675 655586 468766 1121341 593001 71358 1341499
"198803" 3421410 26273 218940 124824 16243 3695 237350 13725 36840 5918 16012 111068 53787 10912 975610 1807563 5366911 3336286 80303 115932 865654 657284 481143 1135971 589594 71009 1370021
"198804" 3634568 21554 231440 129230 15649 4981 251463 13648 38251 6022 16794 115991 60757 10627 984210 1985414 5607746 3409211 85676 116409 887232 670116 492920 1156858 640902 71132 1486501
