"DATES" "FL404090005.Q" "FL403020005.Q" "FL403030005.Q" "FL402050005.Q" "FL404004005.Q" "FL403069105.Q" "FL403061105.Q" "FL403061705.Q" "FL403062005.Q" "FL403063005.Q" "FL403069305.Q" "FL403069385.Q" "FL403069345.Q" "FL403069330.Q" "FL403065005.Q" "FL403065105.Q" "FL403065405.Q" "FL403065605.Q" "FL403066005.Q" "FL403093005.Q" "FL404190005.Q" "FL404104005.Q" "FL403161705.Q" "FL403169283.Q" "FL403190005.Q"
"199002" 457212 2234 0 61508 360783 2315 23942 9390 3550 0 153830 7935 19600 126295 150461 114468 12087 23905 17295 32687 448645 385944 380974 4970 62701
"199003" 458238 2112 0 52423 372483 2246 40079 10440 3689 0 145959 8273 19800 117886 152202 115825 12693 23683 17868 31220 449243 389380 384410 4970 59863
"199004" 477621 2109 0 68691 373880 3765 34326 11883 3685 0 144835 7832 19900 117103 156143 119462 13219 23462 19243 32941 467788 398544 393694 4850 69244
"199101" 483078 1955 0 70120 378709 1314 37728 22869 3502 0 134006 7302 19700 107004 159163 122760 13111 23292 20127 32294 472076 401822 396972 4850 70254
"199102" 477958 1855 0 71960 373014 1206 38214 23957 3442 0 123584 7513 21329 94742 161994 125485 13388 23121 20617 31129 466476 394451 389601 4850 72025
"199103" 490140 1753 0 75985 380229 7627 43002 29465 3426 0 113616 7664 22007 83945 162324 125887 13489 22948 20769 32173 477794 399591 394741 4850 78203
"199104" 496852 1205 0 67570 388869 10859 40754 34764 2981 0 110734 8979 22690 79065 167673 130700 14198 22775 21104 39208 484231 407723 402903 4820 76508
"199201" 512033 1269 0 68778 410913 8153 53606 40286 3056 0 108185 8589 23321 76275 175727 138227 14702 22798 21900 31073 498944 410556 405736 4820 88388
"199202" 521319 1009 0 67459 420495 8953 51144 45517 3075 0 108976 8650 23467 76859 180157 142379 14958 22821 22674 32356 507105 423109 418289 4820 83996
"199203" 543508 927 0 71751 437761 12175 54792 45374 3120 0 111866 8156 23552 80158 186746 148618 15284 22844 23689 33069 528839 440034 435214 4820 88805
"199204" 552814 1196 0 66578 458139 13526 58702 47482 3188 0 111327 7406 24040 79881 199742 161047 15828 22867 24173 26901 537365 448399 443609 4790 88966
"199301" 549188 1011 0 57305 461395 9488 56305 45843 3025 1000 116172 7395 23807 84970 204935 166021 16160 22754 24627 29477 532926 456467 451677 4790 76459
"199302" 573163 851 0 49568 493981 10042 59358 47525 3005 3000 123348 7155 24119 92074 222373 183355 16378 22640 25330 28763 556309 473631 468841 4790 82678
"199303" 613538 1303 0 48602 529766 13355 65354 52576 2629 7000 130098 6715 24460 98923 232709 193292 16892 22525 26045 33867 595571 515554 510764 4790 80017
"199304" 631659 2123 0 50334 546664 11866 51593 66041 3129 11053 135157 6577 25449 103131 241020 201093 17517 22410 26805 32538 613009 528961 524171 4790 84048
"199401" 655479 1720 0 53931 569075 10237 57066 77659 3153 13100 133438 6731 26284 100423 246877 206572 17963 22342 27546 30753 635795 564165 564165 0 71630
"199402" 685742 1579 0 61773 594022 13591 55481 89461 3730 15200 140592 6126 25965 108501 247264 206827 18163 22274 28703 28368 665210 600793 600793 0 64417
"199403" 721930 1649 0 69243 624654 19984 46405 111418 4529 17300 148948 6727 26035 116186 246636 206185 18245 22206 29435 26384 700912 638791 638791 0 62121
"199404" 782314 1337 0 85771 667913 26302 51942 130793 5170 19989 158767 6599 26279 125889 244580 204067 18376 22137 30370 27293 760167 701044 701044 0 59123
"199501" 795240 1276 0 92298 674164 25307 56621 136137 4744 23238 153450 6336 27119 119995 243207 202815 18170 22222 31460 27502 772093 716783 716783 0 55310
"199502" 833865 1603 0 103364 699868 22080 56338 158901 5235 26318 154378 6150 27695 120533 243507 203073 18127 22307 33112 29030 809655 748564 748564 0 61091
